Wings,1927,1,true
The Elephant Man,1980,53
Raging Bill,1980,53
Tess,1980,53
Chariots of Fire,1981,54,true
Atlantic City,1981,54
On Golden Pond,1981,54
Raiders of the Lost Ark,1981,54
Reds,1981,54
Gandhi,1982,55,true
E.T. the Extra-Terrestrial,1982,55
Missing,1982,55
Tootsie,1982,55
The Verdict,1982,55
Terms of Endearment,1983,56,true
The Big Chill,1983,56
The Dresser,1983,56
The Right Stuff,1983,56
Tender Mercies,1983,56
Amadeus,1984,57,true
The Killing Fields,1984,57
A Passage to India,1984,57
Places in the Heart,1984,57
A Soldier's Story,1984,57
Out of Africa,1985,58,true
The Color Purple,1985,58
Kiss of the Spider Woman,1985,58
Prizzi's Honor,1985,58
Witness,1985,58
Platoon,1986,59,true
Children of a Lesser God,1986,59
Hannah and Her Sisters,1986,59
The Mission,1986,59
A Room with a View,1986,59
The Last Emperor,1987,60,true
Broadcast News,1987,60
Fatal Attraction,1987,60
Hope and Glory,1987,60
Moonstruck,1987,60
Rain Man,1988,61,true
The Accidental Tourist,1988,61
Dangerous Liasons,1988,61
Mississippi Burning,1988,61
Working Girl,1988,61
Driving Miss Daisy,1989,62,true
Born on the Fourth of July,1989,62
Dead Poets Society,1989,62
Field of Dreams,1989,62
My Left Foot,1989,62
Dances with Wolves,1990,63,true
Awakenings,1990,63
Ghost,1990,63
The Godfather Part III,1990,63
Goodfellas,1990,63
The Silence of the Lambs,1991,64,true
Beauty and the Beast,1991,64
Bugsy,1991,64
JFK,1991,64
The Prince of Tides,1991,64
Unforgiven,1992,65,true
The Crying Game,1992,65
A Few Good Men,1992,65
Howards End,1992,65
Scent of a Woman,1992,65
Schindler's List,1993,66,true
The Fugitive,1993,66
In the Name of the Father,1993,66
The Piano,1993,66
The Remains of the Day,1993,66
Forrest Gump,1994,67,true
Four Weddings and a Funeral,1994,67
Pulp Fiction,1994,67
Quiz Show,1994,67
The Shawshank Redemption,1994,67
Braveheart,1995,68,true
Apollo 13,1995,68
Babe,1995,68
Il Postino: The Postman,1995,68
Sense and Sensibility,1995,68
The English Patient,1996,69,true
Fargo,1996,69
Jerry Maguire,1996,69
Secrets & Lies,1996,69
Shine,1996,69
Titanic,1997,70,true
As Good as It Gets,1997,70
The Full Monty,1997,70
Good Will Hunting,1997,70
L.A. Confidential,1997,70
Shakespeare in Love,1998,71,true
Elizabeth,1998,71
Life Is Beautiful,1998,71
Saving Private Ryan,1998,71
The Thin Red Line,1998,71
American Beauty,1999,72,true
The Cider House Rules,1999,72
The Green Mile,1999,72
The Insider,1999,72
The Sixth Sense,1999,72
Gladiator,2000,73,true
Chocolat,2000,73
Crouching Tiger, Hidden Dragon,2000,73
Erin Brockovich,2000,73
Traffic,2000,73
A Beautiful Mind,2001,74,true
Gosford Park,2001,74
In the Bedroom,2001,74
The Lord of the Rings: The Fellowship of the Ring,2001,74
Moulin Rouge!,2001,74
Chicago,2002,75,true
Gangs of New York,2002,75
The Hours,2002,75
The Lord of the Rings: The Two Towers,2002,75
The Pianist,2002,75
The Lord of the Rings: The Return of the King,2003,76,true
Lost In Translation,2003,76
Master and Commander: The Far Side of the World,2003,76
Mystic River,2003,76
Seabiscuit,2003,76
Million Dollar Baby,2004,77,true
The Aviator,2004,77
Finding Neverland,2004,77
Ray,2004,77
Sideways,2004,77
Crash,2005,78,true
Brokeback Mountain,2005,78
Capote,2005,78
Good Night, and Good Luck,2005,78
Munich,2005,78
The Departed,2006,79,true
Babel,2006,79
Letters from Iwo Jima,2006,79
Little Miss Sunshine,2006,79
The Queen,2006,79
No Country for Old Men,2007,80,true
Atonement,2007,80
Juno,2007,80
Michael Clayton,2007,80
There Will Be Blood,2007,80
Slumdog Millionaire,2008,81,true
The Curious Case of Benjamin Button,2008,81
Frost/Nixon,2008,81
Milk,2008,81
The Reader,2008,81
The Hurt Locker,2008,82,true
Avatar,2009,82
The Blind Side,2009,82
District 9,2009,82
An Education,2009,82
Inglourious Basterds,2009,82
Precious,2009,82
A Serious Man,2009,82
Up,2009,82
Up in the Air,2009,82
The King's Speech,2010,83,true
127 Hours,2010,83
Black Swan,2010,83
The Fighter,2010,83
Inception,2010,83
The Kids Are All Right,2010,83
The Social Network,2010,83
Toy Story 3,2010,83
True Grit,2010,83
Winter's Bone,2010,83
The Artist,2011,84,true
The Descendants,2011,84
Extremely Loud and Incredibly Close,2011,84
The Help,2011,84
Hugo,2011,84
Midnight in Paris,2011,84
Moneyball,2011,84
The Tree of Life,2011,84
War Horse,2011,84
Argo,2012,85,true
Amour,2012,85
Beasts of the Southern Wild,2012,85
Django Unchained,2012,85
Les Miserables,2012,85
Life of Pi,2012,85
Lincoln,2012,85
Silver Linings Playbook,2012,85
Zero Dark Thirty,2012,85
12 Years a Slave,2013,86,true
American Hustle,2013,86
Captain Phillips,2013,86
Dallas Buyers Club,2013,86
Gravity,2013,86
Her,2013,86
Nebraska,2013,86
Philomena,2013,86
The Wolf of Wall Street,2013,86
